time,aswdifd_s,aswdir_s,t_2m,t_g
2015-08-05 00,0.0,0.0,292.80972290039062,296.54916381835938
2015-08-05 01,0.0,0.0,292.69680786132812,296.244384765625
2015-08-05 02,0.0,0.0,292.72531127929688,296.31060791015625
2015-08-05 03,0.0,0.0,292.31585693359375,296.28744506835938
2015-08-05 04,23.5546875,1.89453125,292.030029296875,296.6282958984375
2015-08-05 05,69.3515625,45.777343705296516,292.62347412109375,297.61947631835938
2015-08-05 06,78.161952890455723,238.28906233608723,293.97467041015625,299.080078125
2015-08-05 07,92.73431309312582,397.22656258940697,295.37860107421875,300.51199340820312
2015-08-05 08,114.16422033309937,529.14062471687794,296.57275390625,301.81622314453125
2015-08-05 09,115.60712003707886,659.23437540233135,297.8204345703125,302.92141723632812
2015-08-05 10,113.34951972961426,744.89062237739563,299.04901123046875,303.8299560546875
2015-08-05 11,114.63320350646973,768.67187690734863,299.984619140625,304.48275756835938
2015-08-05 12,113.44053077697754,741.76562416553497,300.75161743164062,304.78131103515625
2015-08-05 13,108.65920066833496,667.23437571525574,301.27822875976562,304.75091552734375
2015-08-05 14,102.12173461914062,547.74999725818634,301.552734375,304.40408325195312
2015-08-05 15,91.67486572265625,396.37500166893005,301.450439453125,303.81378173828125
2015-08-05 16,77.557828903198242,234.06250190734863,301.0687255859375,302.69989013671875
2015-08-05 17,54.935800552368164,86.937497854232788,300.37240600585938,301.57119750976562
2015-08-05 18,16.674774169921875,6.9453129470348358,299.3670654296875,300.28985595703125
2015-08-05 19,0.02487945556640625,0.054688006639480591,298.21295166015625,299.57736206054688
2015-08-05 20,0.044162750244140625,-0.039061933755874634,297.77041625976562,298.94927978515625
2015-08-05 21,-0.048583984375,-0.054687529802322388,297.34136962890625,298.39111328125
2015-08-05 22,-0.027332305908203125,0.093750655651092529,296.734375,298.10955810546875
