country,city,lat,lng,,,,,,,,,
Kosovo,Malishevë,42.4822,20.7458,,,,,,,,,
Kosovo,Prizren,42.2139,20.7397,,,,,,,,,
Kosovo,Zubin Potok,42.9144,20.6897,,,,,,,,,
Kosovo,Kamenicë,42.5781,21.5803,,,,,,,,,
Kosovo,Viti,42.3214,21.3583,,,,,,,,,
Kosovo,Shtërpcë,42.2394,21.0272,,,,,,,,,
Kosovo,Shtime,42.4331,21.0397,,,,,,,,,
Kosovo,Vushtrri,42.8231,20.9675,,,,,,,,,
Kosovo,Dragash,42.0265,20.6533,,,,,,,,,
Kosovo,Podujevë,42.9111,21.1899,,,,,,,,,
Kosovo,Fushë Kosovë,42.6639,21.0961,,,,,,,,,
Kosovo,Kaçanik,42.2319,21.2594,,,,,,,,,
Kosovo,Klinë,42.6217,20.5778,,,,,,,,,
Kosovo,Leposaviq,43.1039,20.8028,,,,,,,,,
Kosovo,Pejë,42.66,20.2922,,,,,,,,,
Kosovo,Rahovec,42.3994,20.6547,,,,,,,,,
Kosovo,Gjilan,42.4689,21.4633,,,,,,,,,
Kosovo,Lipjan,42.5217,21.1258,,,,,,,,,
Kosovo,Obiliq,42.6869,21.0703,,,,,,,,,
Kosovo,Gjakovë,42.3803,20.4308,,,,,,,,,
Kosovo,Pristina,42.6666,21.1724,,,,,,,,,
Kosovo,Deçan,42.5378,20.2911,,,,,,,,,
Kosovo,Istog,42.7808,20.4875,,,,,,,,,
Kosovo,Hani i Elezit,42.15,21.2967,,,,,,,,,
Kosovo,Junik,42.4758,20.2772,,,,,,,,,
Kosovo,Kllokot,42.3714,21.3744,,,,,,,,,
Kosovo,Mamushë,42.3308,20.7269,,,,,,,,,
Kosovo,Partesh,42.4019,21.4336,,,,,,,,,
Kosovo,Ranillug,42.4922,21.5989,,,,,,,,,
Kosovo,Ferizaj,42.3706,21.1553,,,,,,,,,
Kosovo,Zveçan,42.9075,20.8403,,,,,,,,,
Kosovo,Suharekë,42.3586,20.825,,,,,,,,,
Kosovo,Gllogovc,42.6283,20.8939,,,,,,,,,
Kosovo,Mitrovicë,42.8833,20.8667,,,,,,,,,
Kosovo,Skenderaj,42.7467,20.7886,,,,,,,,,
Kosovo,Novobërdë,42.6178,21.4197,,,,,,,,,
Kosovo,Graçanicë,42.6011,21.1958,,,,,,,,,
Svalbard,Longyearbyen,78.2167,15.6333,,,,,,,,,
West Bank,Al Quds,31.7764,35.2269,,,,,,,,,
Yemen,Sanaa,15.3547,44.2066,,,,,,,,,
Yemen,Marib,15.421,45.334,,,,,,,,,
Yemen,Al Jabīn,14.704,43.599,,,,,,,,,
Yemen,Hajjah,15.6917,43.6021,,,,,,,,,
Yemen,Ibb,13.9759,44.1709,,,,,,,,,
Yemen,Al Hudaydah,14.7979,42.953,,,,,,,,,
Yemen,Lahij,13.0582,44.8838,,,,,,,,,
Yemen,Al Maḩwīt,15.4701,43.5448,,,,,,,,,
Yemen,Taizz,13.6045,44.0394,,,,,,,,,
Yemen,Sadah,16.9398,43.8498,,,,,,,,,
Yemen,Dhamar,14.5575,44.3875,,,,,,,,,
Yemen,‘Amrān,15.6594,43.9439,,,,,,,,,
Yemen,Aḑ Ḑāli‘,13.6957,44.7314,,,,,,,,,
Yemen,Saywun,15.943,48.7873,,,,,,,,,
Yemen,Al Bayda,13.979,45.574,,,,,,,,,
Yemen,Zinjibār,13.1287,45.3807,,,,,,,,,
Yemen,Rida,14.4295,44.8341,,,,,,,,,
Yemen,'Ataq,14.55,46.8,,,,,,,,,
Yemen,Al Ghaydah,16.2394,52.1638,,,,,,,,,
Yemen,Sayhut,15.2105,51.2454,,,,,,,,,
Yemen,Al Mukalla,14.5412,49.1259,,,,,,,,,
Yemen,Al Ḩazm,16.1641,44.7769,,,,,,,,,
Yemen,Zabīd,14.1951,43.3155,,,,,,,,,
Yemen,Aden,12.7797,45.0095,,,,,,,,,
Yemen,Hadiboh,12.6519,54.0239,,,,,,,,,
Yemen,Ash Shihr,14.7593,49.6092,,,,,,,,,
Mayotte,Dzaoudzi,-12.7871,45.275,,,,,,,,,
South Africa,Lebowakgomo,-24.1996,29.5,,,,,,,,,
South Africa,Potchefstroom,-26.6996,27.1,,,,,,,,,
South Africa,Graaff Reinet,-32.3,24.54,,,,,,,,,
South Africa,Rustenburg,-25.65,27.24,,,,,,,,,
South Africa,Brandfort,-28.6996,26.47,,,,,,,,,
South Africa,Vryheid,-27.76,30.79,,,,,,,,,
South Africa,Vereeniging,-26.6496,27.96,,,,,,,,,
South Africa,Brits,-25.6296,27.78,,,,,,,,,
South Africa,Bethlehem,-28.2196,28.3,,,,,,,,,
South Africa,Ubomba,-27.5661,32.0833,,,,,,,,,
South Africa,Polokwane,-23.89,29.45,,,,,,,,,
South Africa,Springbok,-29.6667,17.8833,,,,,,,,,
South Africa,Thohoyandou,-22.95,30.48,,,,,,,,,
South Africa,Pietermaritzburg,-29.61,30.39,,,,,,,,,
South Africa,Poffader,-29.1329,19.3834,,,,,,,,,
South Africa,Carnarvon,-30.9496,22.1333,,,,,,,,,
South Africa,Kroonstad,-27.66,27.21,,,,,,,,,
South Africa,Alexander Bay,-28.6083,16.5033,,,,,,,,,
South Africa,Bloemhof,-27.6496,25.59,,,,,,,,,
South Africa,Hermanus,-34.4096,19.2299,,,,,,,,,
South Africa,Bethal,-26.4696,29.45,,,,,,,,,
South Africa,Upington,-28.46,21.23,,,,,,,,,
South Africa,Tzaneen,-23.8195,30.17,,,,,,,,,
South Africa,Vanhynsdorp,-31.6166,18.7333,,,,,,,,,
South Africa,Kimberley,-28.7468,24.77,,,,,,,,,
South Africa,Durban,-29.865,30.98,,,,,,,,,
South Africa,Klerksdorp,-26.88,26.62,,,,,,,,,
South Africa,Welkom,-27.97,26.73,,,,,,,,,
South Africa,De Aar,-30.65,24,,,,,,,,,
South Africa,Prieska,-29.6595,22.73,,,,,,,,,
South Africa,Saldanha,-33.01,17.93,,,,,,,,,
South Africa,Middelburg,-31.5,25.01,,,,,,,,,
South Africa,Port St. Johns,-31.6279,29.5283,,,,,,,,,
South Africa,Volksrust,-27.3596,29.89,,,,,,,,,
South Africa,Ulundi,-28.3296,31.41,,,,,,,,,
South Africa,Beaufort West,-32.3496,22.57,,,,,,,,,
South Africa,Komatipoort,-25.4096,31.94,,,,,,,,,
South Africa,Nelspruit,-25.4745,30.9703,,,,,,,,,
South Africa,Standerton,-26.9395,29.24,,,,,,,,,
South Africa,Johannesburg,-26.17,28.03,,,,,,,,,
South Africa,Kuruman,-27.4496,23.42,,,,,,,,,
South Africa,Paarl,-33.6996,18.96,,,,,,,,,
South Africa,Worcester,-33.64,19.4399,,,,,,,,,
South Africa,Colesberg,-30.7195,25.1,,,,,,,,,
South Africa,Umtata,-31.58,28.79,,,,,,,,,
South Africa,Aliwal North,-30.6896,26.71,,,,,,,,,
South Africa,Middelburg,-25.7596,29.47,,,,,,,,,
South Africa,Springs,-26.2696,28.43,,,,,,,,,
South Africa,Benoni,-26.1496,28.3299,,,,,,,,,
South Africa,Port Shepstone,-30.7195,30.46,,,,,,,,,
South Africa,Oudtshoorn,-33.58,22.19,,,,,,,,,
South Africa,Port Elizabeth,-33.97,25.6,,,,,,,,,
South Africa,Port Alfred,-33.5995,26.88,,,,,,,,,
South Africa,East London,-32.97,27.87,,,,,,,,,
South Africa,Mossel Bay,-34.17,22.13,,,,,,,,,
South Africa,Vryburg,-26.96,24.73,,,,,,,,,
South Africa,Uitenhage,-33.7596,25.39,,,,,,,,,
South Africa,Bhisho,-32.87,27.39,,,,,,,,,
South Africa,Knysna,-34.0329,23.0333,,,,,,,,,
South Africa,Queenstown,-31.8996,26.88,,,,,,,,,
South Africa,Cradock,-32.1995,25.61,,,,,,,,,
South Africa,Bredasdorp,-34.5295,20.03,,,,,,,,,
South Africa,Swellendam,-34.0196,20.43,,,,,,,,,
South Africa,Ladysmith,-28.5495,29.78,,,,,,,,,
South Africa,George,-33.95,22.45,,,,,,,,,
South Africa,Grahamstown,-33.2996,26.52,,,,,,,,,
South Africa,Mmabatho,-25.83,25.61,,,,,,,,,
South Africa,Mahikeng,-25.8652,25.6442,,,,,,,,,
South Africa,Musina,-22.34,30.03,,,,,,,,,
South Africa,Pretoria,-25.7069,28.2294,,,,,,,,,
South Africa,Bloemfontein,-29.12,26.2299,,,,,,,,,
South Africa,Cape Town,-33.92,18.435,,,,,,,,,
Zambia,Zambezi,-13.54,23.1099,,,,,,,,,
Zambia,Solwezi,-12.1796,26.4,,,,,,,,,
Zambia,Lusaka,-15.4166,28.2833,,,,,,,,,
Zambia,Kaoma,-14.7796,24.8,,,,,,,,,
Zambia,Chipata,-13.6296,32.64,,,,,,,,,
Zambia,Senanga,-16.1196,23.27,,,,,,,,,
Zambia,Sesheke,-17.4695,24.3,,,,,,,,,
Zambia,Chililabombwe,-12.3696,27.82,,,,,,,,,
Zambia,Chingola,-12.5396,27.85,,,,,,,,,
Zambia,Kasempa,-13.4596,25.82,,,,,,,,,
Zambia,Kitwe,-12.81,28.22,,,,,,,,,
Zambia,Mufulira,-12.55,28.26,,,,,,,,,
Zambia,Nchelenge,-9.3496,28.73,,,,,,,,,
Zambia,Mazabuka,-15.86,27.76,,,,,,,,,
Zambia,Lukulu,-14.3896,23.24,,,,,,,,,
Zambia,Kafue,-15.78,28.18,,,,,,,,,
Zambia,Lundazi,-12.2895,33.17,,,,,,,,,
Zambia,Mansa,-11.2,28.89,,,,,,,,,
Zambia,Mwinilunga,-11.7396,24.44,,,,,,,,,
Zambia,Mumbwa,-14.9796,27.07,,,,,,,,,
Zambia,Kalabo,-14.9896,22.68,,,,,,,,,
Zambia,Nyimba,-14.5495,30.81,,,,,,,,,
Zambia,Kapiri Mposhi,-13.9696,28.66,,,,,,,,,
Zambia,Kabwe,-14.44,28.45,,,,,,,,,
Zambia,Ndola,-12.9999,28.65,,,,,,,,,
Zambia,Kasama,-10.1996,31.1799,,,,,,,,,
Zambia,Mbala,-8.84,31.37,,,,,,,,,
Zambia,Kawambwa,-9.7795,29.08,,,,,,,,,
Zambia,Luanshya,-13.1333,28.4,,,,,,,,,
Zambia,Mongu,-15.2796,23.12,,,,,,,,,
Zambia,Mpika,-11.83,31.46,,,,,,,,,
Zambia,Chinsali,-10.5496,32.06,,,,,,,,,
Zambia,Livingstone,-17.86,25.86,,,,,,,,,
Zambia,Choma,-16.8095,26.97,,,,,,,,,
Zimbabwe,Plumtree,-20.4795,27.82,,,,,,,,,
Zimbabwe,Kariba,-16.5296,28.8,,,,,,,,,
Zimbabwe,Hwange,-18.37,26.5,,,,,,,,,
Zimbabwe,Chiredzi,-21.0496,31.66,,,,,,,,,
Zimbabwe,Mazowe,-17.5196,30.97,,,,,,,,,
Zimbabwe,Zvishavane,-20.3296,30.05,,,,,,,,,
Zimbabwe,Shamva,-17.3196,31.57,,,,,,,,,
Zimbabwe,Harare,-17.8178,31.0447,,,,,,,,,
Zimbabwe,Kwekwe,-18.9296,29.8,,,,,,,,,
Zimbabwe,Kadoma,-18.33,29.9099,,,,,,,,,
Zimbabwe,Beitbridge,-22.2096,29.99,,,,,,,,,
Zimbabwe,Karoi,-16.8196,29.68,,,,,,,,,
Zimbabwe,Victoria Falls,-17.9296,25.84,,,,,,,,,
